timestamp,air_temperature,cloud_area_fraction,dew_point_temperature,relative_humidity,surface_air_pressure,wind_from_direction,wind_speed
2014-01-01 00:00:00,1.3,0.0,-0.7,86,988.9,5,1.1
2014-01-01 01:00:00,1.7,,-2.2,75,988.9,4,1.2
2014-01-01 02:00:00,0.4,,-2.2,83,988.8,5,0.8
2014-01-01 03:00:00,1.8,0.0,-3.6,67,988.1,5,2.2
2014-01-01 04:00:00,1.2,,-3.8,69,987.2,2,1.4
2014-01-01 05:00:00,1.5,,-3.3,71,986.8,2,1.7
2014-01-01 06:00:00,3.1,0.0,-3.0,64,986.6,3,1.8
2014-01-01 07:00:00,4.7,,-1.9,62,986.3,4,2.3
2014-01-01 08:00:00,5.8,,-1.7,59,986.4,4,5.2
2014-01-01 09:00:00,6.7,,-0.7,59,986.3,4,4.7
2014-01-01 10:00:00,6.8,,-0.7,59,986.7,4,3.8
2014-01-01 11:00:00,6.6,,-0.5,60,986.3,5,2.3
2014-01-01 12:00:00,7.2,7.0,-0.5,58,986.1,4,3.0
2014-01-01 13:00:00,7.5,,-0.2,58,985.9,4,2.1
2014-01-01 14:00:00,7.6,,-0.2,58,985.3,4,3.0
2014-01-01 15:00:00,7.7,,-0.5,56,984.8,4,4.8
2014-01-01 16:00:00,7.0,,-0.5,59,985.0,4,3.0
2014-01-01 17:00:00,7.0,,-0.9,57,984.9,4,4.5
2014-01-01 18:00:00,6.6,6.0,-1.4,56,984.9,4,4.0
2014-01-01 19:00:00,6.0,,-1.7,57,985.4,4,5.9
2014-01-01 20:00:00,5.2,,-2.7,56,985.3,4,5.0
2014-01-01 21:00:00,4.9,,-2.7,57,985.1,4,4.4
2014-01-01 22:00:00,4.8,,-3.0,57,984.9,4,7.0
2014-01-01 23:00:00,4.7,,-3.3,56,984.7,4,5.2
2014-01-02 00:00:00,4.3,0.0,-3.3,58,984.7,4,4.3
2014-01-02 01:00:00,4.1,,-3.3,59,985.0,4,4.0
2014-01-02 02:00:00,4.2,,-3.3,58,984.7,4,4.6
2014-01-02 03:00:00,4.3,0.0,-3.8,55,984.6,4,4.1
2014-01-02 04:00:00,4.6,,-3.8,54,983.9,4,6.1
2014-01-02 05:00:00,4.7,,-4.1,53,983.7,4,6.3
2014-01-02 06:00:00,4.7,0.0,-3.6,55,983.4,4,7.1
2014-01-02 07:00:00,5.2,,-3.3,54,983.2,4,5.5
2014-01-02 08:00:00,4.5,,-3.0,58,982.9,4,3.7
2014-01-02 09:00:00,4.6,,-2.7,59,982.4,4,5.4
2014-01-02 10:00:00,4.5,,-3.0,58,982.6,4,5.3
2014-01-02 11:00:00,4.9,,-3.0,56,981.6,4,5.3
2014-01-02 12:00:00,5.3,7.0,-3.3,54,981.1,4,5.2
2014-01-02 13:00:00,5.2,,-3.0,55,980.6,4,4.6
2014-01-02 14:00:00,5.3,,-3.3,54,980.1,4,5.9
2014-01-02 15:00:00,5.2,,-3.3,54,979.7,4,6.6
2014-01-02 16:00:00,5.2,,-3.3,54,979.5,4,6.1
2014-01-02 17:00:00,5.4,,-2.7,55,978.8,4,5.8
2014-01-02 18:00:00,5.2,4.0,-2.7,56,978.9,4,6.3
2014-01-02 19:00:00,5.5,,-2.7,55,978.9,4,6.5
2014-01-02 20:00:00,5.9,,-2.7,54,979.2,4,8.2
2014-01-02 21:00:00,6.0,,-2.7,53,979.9,4,5.7
2014-01-02 22:00:00,6.5,,-3.0,51,980.0,4,5.0
2014-01-02 23:00:00,6.5,,-3.0,51,979.7,4,5.7
2014-01-03 00:00:00,6.3,,-2.7,52,979.7,4,5.8
2014-01-03 01:00:00,5.9,,-2.5,55,980.1,4,4.4
2014-01-03 02:00:00,5.6,,-2.2,57,980.1,5,4.9
2014-01-03 03:00:00,5.7,5.0,-2.2,57,980.3,4,3.9
2014-01-03 04:00:00,5.7,,-2.2,57,980.1,5,4.0
2014-01-03 05:00:00,5.7,,-2.2,57,979.8,4,6.1
2014-01-03 06:00:00,5.7,1.0,-1.9,58,980.0,4,3.9
2014-01-03 07:00:00,5.5,,-2.2,58,980.1,4,5.6
2014-01-03 08:00:00,5.2,,-1.9,59,980.1,4,2.7
2014-01-03 09:00:00,5.0,,-1.9,61,980.2,2,2.6
2014-01-03 10:00:00,5.2,,-1.9,60,979.3,3,4.4
2014-01-03 11:00:00,5.4,,-2.2,58,979.2,4,4.6
2014-01-03 12:00:00,5.1,2.0,-2.5,58,978.9,4,5.9
2014-01-03 13:00:00,4.9,,-2.2,60,978.9,4,5.6
2014-01-03 14:00:00,5.0,,-2.7,58,978.2,4,5.2
